,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
126,1,Karl-Anthony Towns,20,MIN,130,650,650,1.0,82,32.0,18.3,10.5,2.0,0.7,1.7,0.542,0.341,0.811,8.3,0.151,2016
127,2,Kristaps Porziņģis,20,NYK,0,363,650,0.558,72,28.4,14.3,7.3,1.3,0.7,1.9,0.421,0.333,0.838,4.4,0.102,2016
128,3,Nikola Jokić,20,DEN,0,59,650,0.091,80,21.7,10.0,7.0,2.4,1.0,0.6,0.512,0.333,0.811,6.7,0.185,2016
129,4,Devin Booker,19,PHO,0,49,650,0.075,76,27.7,13.8,2.5,2.6,0.6,0.3,0.423,0.343,0.84,1.9,0.043,2016
130,5,Jahlil Okafor,20,PHI,0,34,650,0.052,53,30.0,17.5,7.0,1.2,0.4,1.2,0.508,0.167,0.686,1.2,0.037,2016
131,6,Justise Winslow,19,MIA,0,7,650,0.011,78,28.6,6.4,5.2,1.5,0.9,0.3,0.422,0.276,0.684,2.5,0.054,2016
132,7,Emmanuel Mudiay,19,DEN,0,4,650,0.006,68,30.4,12.8,3.4,5.5,1.0,0.5,0.364,0.319,0.67,-2.1,-0.049,2016
133,8,Myles Turner,19,IND,0,3,650,0.005,60,22.8,10.3,5.5,0.7,0.4,1.4,0.498,0.214,0.727,3.1,0.109,2016
134,9,D'Angelo Russell,19,LAL,0,1,650,0.002,80,28.2,13.2,3.4,3.3,1.2,0.2,0.41,0.351,0.737,0.0,0.001,2016
135,1,Malcolm Brogdon,24,MIL,64,414,500,0.828,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,2017
136,2,Dario Šarić,22,PHI,13,266,500,0.532,81,26.3,12.8,6.3,2.2,0.7,0.4,0.411,0.311,0.782,1.0,0.023,2017
137,3,Joel Embiid,22,PHI,23,177,500,0.354,31,25.4,20.2,7.8,2.1,0.9,2.5,0.466,0.367,0.783,1.9,0.117,2017
138,4,Buddy Hield,24,TOT,0,21,500,0.042,82,23.0,10.6,3.3,1.5,0.5,0.1,0.426,0.391,0.842,1.3,0.032,2017
139,5T,Willy Hernangómez,22,NYK,0,8,500,0.016,72,18.4,8.2,7.0,1.3,0.6,0.5,0.529,0.267,0.728,3.4,0.123,2017
140,5T,Jamal Murray,19,DEN,0,8,500,0.016,82,21.5,9.9,2.6,2.1,0.6,0.3,0.404,0.334,0.883,1.3,0.037,2017
141,7,Marquese Chriss,19,PHO,0,3,500,0.006,82,21.3,9.2,4.2,0.7,0.8,0.9,0.449,0.321,0.624,1.8,0.05,2017
142,8T,Jaylen Brown,20,BOS,0,1,500,0.002,78,17.2,6.6,2.8,0.8,0.4,0.2,0.454,0.341,0.685,1.5,0.053,2017
143,8T,Yogi Ferrell,23,TOT,0,1,500,0.002,46,26.0,10.0,2.4,3.7,0.9,0.2,0.406,0.386,0.831,1.8,0.072,2017
144,8T,Rodney McGruder,25,MIA,0,1,500,0.002,78,25.2,6.4,3.3,1.6,0.6,0.2,0.413,0.332,0.62,2.9,0.072,2017
145,1,Ben Simmons,21,PHI,90,481,505,0.952,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0.0,0.56,9.2,0.162,2018
146,2,Donovan Mitchell,21,UTA,11,323,505,0.64,79,33.4,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,5.2,0.095,2018
147,3,Jayson Tatum,19,BOS,0,101,505,0.2,80,30.5,13.9,5.0,1.6,1.0,0.7,0.475,0.434,0.826,7.1,0.139,2018
148,4,Kyle Kuzma,22,LAL,0,3,505,0.006,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.366,0.707,3.8,0.077,2018
149,5,Dennis Smith Jr.,20,DAL,0,1,505,0.002,69,29.7,15.2,3.8,5.2,1.0,0.3,0.395,0.313,0.694,-0.7,-0.017,2018
150,1,Luka Dončić,19,DAL,98,496,500,0.992,72,32.2,21.2,7.8,6.0,1.1,0.3,0.427,0.327,0.713,4.9,0.101,2019
151,2,Trae Young,20,ATL,2,301,500,0.602,81,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.829,3.3,0.062,2019
152,3,Deandre Ayton,20,PHO,0,66,500,0.132,71,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0.0,0.746,5.8,0.128,2019
153,4,Jaren Jackson Jr.,19,MEM,0,12,500,0.024,58,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.359,0.766,3.3,0.105,2019
154,5,Collin Sexton,20,CLE,0,10,500,0.02,82,31.8,16.7,2.9,3.0,0.5,0.1,0.43,0.402,0.839,-0.6,-0.011,2019
155,6,Shai Gilgeous-Alexander,20,LAC,0,7,500,0.014,82,26.5,10.8,2.8,3.3,1.2,0.5,0.476,0.367,0.8,3.3,0.074,2019
156,7,Marvin Bagley III,19,SAC,0,6,500,0.012,62,25.3,14.9,7.6,1.0,0.5,1.0,0.504,0.313,0.691,3.6,0.11,2019
157,8T,Josh Okogie,20,MIN,0,1,500,0.002,74,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.279,0.728,1.2,0.034,2019
158,8T,Mitchell Robinson,20,NYK,0,1,500,0.002,66,20.6,7.3,6.4,0.6,0.8,2.4,0.694,,0.6,6.1,0.217,2019
159,1,Ja Morant,20,MEM,99,498,500,0.996,67,31.0,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,3.8,0.088,2020
160,2,Kendrick Nunn,24,MIA,0,204,500,0.408,67,29.3,15.3,2.7,3.3,0.8,0.2,0.439,0.35,0.85,2.0,0.049,2020
161,3,Zion Williamson,19,NOP,1,140,500,0.28,24,27.8,22.5,6.3,2.1,0.7,0.4,0.583,0.429,0.64,2.0,0.141,2020
162,4,Brandon Clarke,23,MEM,0,50,500,0.1,58,22.4,12.1,5.9,1.4,0.6,0.8,0.618,0.359,0.759,5.0,0.183,2020
163,5,Coby White,19,CHI,0,3,500,0.006,65,25.8,13.2,3.5,2.7,0.8,0.1,0.394,0.354,0.791,0.9,0.026,2020
164,6T,Terence Davis,22,TOR,0,2,500,0.004,72,16.8,7.5,3.3,1.6,0.5,0.2,0.456,0.388,0.864,3.1,0.122,2020
165,6T,Eric Paschall,23,GSW,0,2,500,0.004,60,27.6,14.0,4.6,2.1,0.5,0.2,0.497,0.287,0.774,2.1,0.062,2020
166,8,RJ Barrett,19,NYK,0,1,500,0.002,56,30.4,14.3,5.0,2.6,1.0,0.3,0.402,0.32,0.614,-0.5,-0.015,2020
167,1,LaMelo Ball,19,CHO,84,465,495,0.939,51,28.8,15.7,5.9,6.1,1.6,0.4,0.436,0.352,0.758,2.8,0.093,2021
168,2,Anthony Edwards,19,MIN,15,309,495,0.624,72,32.1,19.3,4.7,2.9,1.1,0.5,0.417,0.329,0.776,0.8,0.017,2021
169,3,Tyrese Haliburton,20,SAC,0,114,495,0.23,58,30.1,13.0,3.0,5.3,1.3,0.5,0.472,0.409,0.857,3.5,0.096,2021
170,4,Saddiq Bey,21,DET,0,3,495,0.006,70,27.3,12.2,4.5,1.4,0.7,0.2,0.404,0.38,0.844,3.3,0.082,2021
